State,Population,Primary_State
Alabama,4863300,AL
Alaska,741894,AK
Arizona,6931071,AZ
Arkansas,2988248,AR
California,39250017,CA
Colorado,5540545,CO
Connecticut,3576452,CT
Delaware,952065,DE
District of Columbia,681170,DC
Florida,20612439,FL
Georgia,10310371,GA
Hawaii,1428557,HI
Idaho,1683140,ID
Illinois,12801539,IL
Indiana,6633053,IN
Iowa,3134693,IA
Kansas,2907289,KS
Kentucky,4436974,KY
Louisiana,4681666,LA
Maine,1331479,ME
Maryland,6016447,MD
Massachusetts,6811779,MA
Michigan,9928300,MI
Minnesota,5519952,MN
Mississippi,2988726,MS
Missouri,6093000,MO
Montana,1042520,MT
Nebraska,1907116,NE
Nevada,2940058,NV
New Hampshire,1334795,NH
New Jersey,8944469,NJ
New Mexico,2081015,NM
New York,19745289,NY
North Carolina,10146788,NC
North Dakota,757952,ND
Ohio,11614373,OH
Oklahoma,3923561,OK
Oregon,4093465,OR
Pennsylvania,12784227,PA
Rhode Island,1056426,RI
South Carolina,4961119,SC
South Dakota,865454,SD
Tennessee,6651194,TN
Texas,27862596,TX
Utah,3051217,UT
Vermont,624594,VT
Virginia,8411808,VA
Washington,7288000,WA
West Virginia,1831102,WV
Wisconsin,5778708,WI
Wyoming,585501,WY
